word,block,id,cond,order,word_duration,vot_duration,mem_1,mem_2
piping,a,7,g2,28,481.494835,54.550019,3.875,2.504126581
pave,a,7,g2,29,582.594204,54.550019,3.875,2.504126581
party,a,7,g2,30,412.330138,84.370696,3.875,2.504126581
park,a,7,g2,32,401.48814,76.370027,3.875,2.504126581
public,a,7,g2,38,495.238111,85.09803,3.875,2.504126581
parcel,a,7,g2,40,419.67148,77.09736,3.875,2.504126581
pain,a,7,g2,41,525.13485,91.644032,3.875,2.504126581
pointer,a,7,g2,42,568.966993,86.552697,3.875,2.504126581
power,a,7,g2,44,432.036151,78.552027,3.875,2.504126581
positive,a,7,g2,47,533.862853,88.007364,3.875,2.504126581
polarize,a,7,g2,49,973.937464,104.736037,3.875,2.504126581
pocket,a,7,g2,50,456.275297,76.370027,3.875,2.504126581
panama,a,7,g2,53,621.870217,82.916029,3.875,2.504126581
pair,a,7,g2,54,450.219491,95.2807,3.875,2.504126581
pamper,a,7,g2,55,501.132842,48.73135,3.875,2.504126581
politic,a,7,g2,57,637.50789,81.461362,3.875,2.504126581
permit,a,7,g2,58,452.765158,76.370027,3.875,2.504126581
pendant,a,7,g2,59,600.875193,79.279361,3.875,2.504126581
peacock,a,7,g2,61,565.637586,61.823355,3.875,2.504126581
pallet,a,7,g2,62,355.562376,86.552697,3.875,2.504126581
point,a,7,g2,65,510.837873,66.187356,3.875,2.504126581
pastry,a,7,g2,68,555.682861,37.094013,3.875,2.504126581
pattern,a,7,g2,70,459.674827,53.822685,3.875,2.504126581
peace,a,7,g2,71,575.494418,56.73202,3.875,2.504126581
pitiful,a,7,g2,73,456.038159,44.367349,3.875,2.504126581
popular,a,7,g2,74,604.262167,74.188026,3.875,2.504126581
perk,a,7,g2,76,482.949502,67.642024,3.875,2.504126581
picture,a,7,g2,77,530.226185,42.185348,3.875,2.504126581
pall,b,7,g2,0,444.400822,124.374043,3.875,2.504126581
pebble,b,7,g2,3,426.944816,97.462701,3.875,2.504126581
power,b,7,g2,7,506.224177,139.648049,3.875,2.504126581
purchase,b,7,g2,8,629.870887,98.190034,3.875,2.504126581
pair,b,7,g2,10,532.408186,144.739384,3.875,2.504126581
payment,b,7,g2,11,527.892073,77.824694,3.875,2.504126581
pastry,b,7,g2,13,583.896923,69.824024,3.875,2.504126581
party,b,7,g2,14,422.580814,103.281369,3.875,2.504126581
popular,b,7,g2,17,634.332482,109.100038,3.875,2.504126581
peal,b,7,g2,18,482.949502,116.373374,3.875,2.504126581
pave,b,7,g2,20,515.929137,96.008034,3.875,2.504126581
pointer,b,7,g2,22,509.133511,64.005356,3.875,2.504126581
picture,b,7,g2,25,489.495504,42.185348,3.875,2.504126581
point,b,7,g2,29,487.313503,87.28003,3.875,2.504126581
parcel,b,7,g2,30,385.45101,63.278022,3.875,2.504126581
polarize,b,7,g2,31,577.502868,64.005356,3.875,2.504126581
Paris,b,7,g2,32,597.140875,66.91469,3.875,2.504126581
peacock,b,7,g2,33,583.321537,79.279361,3.875,2.504126581
policy,b,7,g2,34,487.313503,68.369357,3.875,2.504126581
perk,b,7,g2,35,381.850133,66.91469,3.875,2.504126581
porcelain,b,7,g2,40,638.848513,95.2807,3.875,2.504126581
personal,b,7,g2,43,593.504207,76.370027,3.875,2.504126581
panther,b,7,g2,46,562.228863,84.370696,3.875,2.504126581
permit,b,7,g2,47,546.954858,77.824694,3.875,2.504126581
peace,b,7,g2,49,535.512872,65.460023,3.875,2.504126581
public,b,7,g2,52,541.863523,89.462031,3.875,2.504126581
pallet,b,7,g2,54,474.221499,65.460023,3.875,2.504126581
positive,b,7,g2,58,484.404169,93.098699,3.875,2.504126581
paw,b,7,g2,59,418.944146,122.192043,3.875,2.504126581
pocket,b,7,g2,61,483.676836,63.278022,3.875,2.504126581
possibly,b,7,g2,62,589.867539,81.461362,3.875,2.504126581
pitiful,b,7,g2,63,511.087426,62.550689,3.875,2.504126581
pamper,b,7,g2,66,469.705549,72.733359,3.875,2.504126581
park,b,7,g2,67,334.57345,50.913351,3.875,2.504126581
pain,b,7,g2,68,437.127486,58.186687,3.875,2.504126581
pendant,b,7,g2,70,542.590856,53.095352,3.875,2.504126581
panama,b,7,g2,73,510.588178,74.915359,3.875,2.504126581
piping,b,7,g2,76,500.405508,74.915359,3.875,2.504126581
pattern,b,7,g2,77,480.767501,99.644701,3.875,2.504126581
