,word,block,id,cond,order,word_duration,vot,KF,vot_per,word_id
3260,pall,a,44,g2,0,557.566855,142.684431,42,25.59055111,pall44
3300,pall,b,44,g2,0,424.110885,83.415515,42,19.66832683,pall44
3340,pall,a,45,g1,0,429.150868,82.317941,42,19.18158558,pall45
3380,pall,b,45,g1,0,433.54116,91.098522,42,21.01265818,pall45
3420,pall,a,46,g2,0,312.026107,53.822685,42,17.24941721,pall46
3460,pall,b,46,g2,0,397.851473,71.278692,42,17.91590501,pall46
3500,pall,a,47,g1,0,491.677505,66.187356,42,13.46153837,pall47
3540,pall,b,47,g1,0,343.301453,21.092674,42,6.144067791,pall47
3580,pall,a,48,g2,0,388.396134,43.640015,42,11.23595504,pall48
3620,pall,b,48,g2,0,403.906701,77.927652,42,19.29347837,pall48
3660,pall,a,49,g1,0,445.244672,83.415514,42,18.73475849,pall49
3699,pall,b,49,g1,0,464.273191,118.537836,42,25.53191489,pall49
3738,pall,a,1,g1,0,276.903987,55.880312,42,20.18039271,pall1
3778,pall,b,1,g1,0,296.344591,51.58591,42,17.40740731,pall1
3818,pall,a,2,g1,0,316.100898,63.110422,42,19.96527767,pall2
3857,pall,b,2,g1,0,453.297468,77.927652,42,17.19128332,pall2
32,pallet,a,3,g1,62,387.9919,64.619585,1,16.65487991,pallet3
67,pallet,b,3,g1,54,475.550606,77.795631,1,16.35906463,pallet3
112,pallet,a,4,g1,62,406.489421,46.646834,1,11.47553456,pallet4
147,pallet,b,4,g1,54,334.622434,61.738457,1,18.45018466,pallet4
192,pallet,a,5,g1,62,371.501054,75.42354,1,20.30237578,pallet5
227,pallet,b,5,g1,54,358.662722,71.642358,1,19.97485482,pallet5
271,pallet,a,6,g2,62,392.760138,48.18585,1,12.26851845,pallet6
306,pallet,b,6,g2,54,366.000514,74.653534,1,20.39711179,pallet6
351,pallet,a,7,g2,62,355.562376,86.552697,1,24.34247908,pallet7
386,pallet,b,7,g2,54,474.221499,65.460023,1,13.80368101,pallet7
431,pallet,a,8,g2,62,494.39565,82.188695,1,16.62407325,pallet8
466,pallet,b,8,g2,54,557.842132,115.066446,1,20.62706264,pallet8
509,pallet,a,9,g2,62,420.095898,58.445739,1,13.91247553,pallet9
544,pallet,b,9,g2,54,407.791717,69.147071,1,16.95646775,pallet9
589,pallet,a,10,g2,62,388.396126,71.27869,1,18.35205998,pallet10
623,pallet,b,10,g2,54,424.760581,103.171821,1,24.28940575,pallet10
668,pallet,a,11,g1,62,400.065198,96.586385,1,24.14266112,pallet11
703,pallet,b,11,g1,54,430.248442,79.025224,1,18.36734693,pallet11
746,pallet,a,12,g1,62,404.115294,10.087363,1,2.496159673,pallet12
779,pallet,b,12,g1,54,369.607559,57.622559,1,15.59020036,pallet12
824,pallet,a,13,g1,62,766.609601,130.920046,1,17.0777989,pallet13
859,pallet,b,13,g1,54,625.506886,151.285386,1,24.18604645,pallet13
903,pallet,a,14,g1,62,363.120076,62.233126,1,17.13844266,pallet14
938,pallet,b,14,g1,54,448.037489,86.552697,1,19.31818188,pallet14
982,pallet,a,15,g1,62,526.589512,77.824693,1,14.77900551,pallet15
1017,pallet,b,15,g1,54,555.337308,68.194484,1,12.2798312,pallet15
1062,pallet,a,16,g1,62,491.677505,84.370696,1,17.15976329,pallet16
1097,pallet,b,16,g1,54,498.223506,76.370026,1,15.32846706,pallet16
1142,pallet,a,17,g1,62,441.855154,85.09803,1,19.25925934,pallet17
1177,pallet,b,17,g1,54,461.129494,82.916029,1,17.98107258,pallet17
1222,pallet,a,18,g1,62,405.033888,67.198804,1,16.59090905,pallet18
1257,pallet,b,18,g1,54,375.30413,75.642693,1,20.15503879,pallet18
1302,pallet,a,19,g1,62,432.459732,83.643363,1,19.34130667,pallet19
1337,pallet,b,19,g1,54,403.84391,76.370027,1,18.91077842,pallet19
1382,pallet,a,20,g1,62,454.39504,106.464538,1,23.42995161,pallet20
1417,pallet,b,20,g1,54,423.663008,102.074248,1,24.09326424,pallet20
1462,pallet,a,21,g2,62,379.668133,64.005356,1,16.85823761,pallet21
1497,pallet,b,21,g2,54,410.216142,76.370026,1,18.61702117,pallet21
1542,pallet,a,22,g2,62,364.394127,69.096691,1,18.96207592,pallet22
1577,pallet,b,22,g2,54,379.760106,85.61066,1,22.54335267,pallet22
1622,pallet,a,23,g2,62,355.613509,75.732507,1,21.29629642,pallet23
1657,pallet,b,23,g2,54,520.249391,80.122797,1,15.40084398,pallet23
1702,pallet,a,24,g2,62,504.883377,71.342216,1,14.13043472,pallet24
1737,pallet,b,24,g2,54,381.557407,81.916279,1,21.46892643,pallet24
1779,pallet,a,25,g2,62,437.931452,94.39124,1,21.55388465,pallet25
1813,pallet,b,25,g2,54,411.58971,81.220369,1,19.73333323,pallet25
1858,pallet,a,26,g2,62,413.784852,93.293667,1,22.54641912,pallet26
1893,pallet,b,26,g2,54,413.236067,68.598285,1,16.60026568,pallet26
1938,pallet,a,27,g2,62,409.559255,83.964312,1,20.50113896,pallet27
1972,pallet,b,27,g2,54,388.540686,92.196095,1,23.72881356,pallet27
2017,pallet,a,28,g2,62,463.17562,72.439789,1,15.63981045,pallet28
2052,pallet,b,28,g2,54,452.199893,73.537361,1,16.26213587,pallet28
2097,pallet,a,29,g2,62,395.126121,48.293193,1,12.22222233,pallet29
2131,pallet,b,29,g2,54,389.638259,94.39124,1,24.22535206,pallet29
2174,pallet,a,30,g2,62,362.198945,74.086148,1,20.4545455,pallet30
2209,pallet,b,30,g2,54,320.866643,61.165204,1,19.06250006,pallet30
2254,pallet,a,31,g1,62,426.955721,73.537361,1,17.22365046,pallet31
2289,pallet,b,31,g1,54,523.542108,104.269393,1,19.91614264,pallet31
2334,pallet,a,32,g1,62,342.991425,66.40314,1,19.36000003,pallet32
2369,pallet,b,32,g1,54,337.503561,63.659208,1,18.86178854,pallet32
2414,pallet,a,33,g1,62,476.346491,72.435582,1,15.2064901,pallet33
2449,pallet,b,33,g1,54,402.809129,64.756781,1,16.07629429,pallet33
2494,pallet,a,34,g1,62,417.077573,72.439789,1,17.36842105,pallet34
2529,pallet,b,34,g1,54,444.185872,76.830079,1,17.29683086,pallet34
2574,pallet,a,35,g1,62,582.811029,54.878628,1,9.416195863,pallet35
2609,pallet,b,35,g1,54,391.8334,70.244643,1,17.92717083,pallet35
2654,pallet,a,36,g1,62,413.784855,103.17182,1,24.93368686,pallet36
2689,pallet,b,36,g1,54,380.857675,102.074247,1,26.80115269,pallet36
2734,pallet,a,37,g2,62,556.469288,60.915277,1,10.94674555,pallet37
2768,pallet,b,37,g2,54,579.51831,88.903377,1,15.34090907,pallet37
2812,pallet,a,38,g2,62,499.395514,75.732507,1,15.16483526,pallet38
2847,pallet,b,38,g2,54,488.419787,83.415514,1,17.07865165,pallet38
2892,pallet,a,39,g2,62,309.515462,54.878628,1,17.73049645,pallet39
2927,pallet,b,39,g2,54,351.223219,59.268918,1,16.87499994,pallet39
2972,pallet,a,40,g2,62,390.735831,93.293668,1,23.87640462,pallet40
3007,pallet,b,40,g2,54,362.198941,84.513086,1,23.33333327,pallet40
3052,pallet,a,41,g2,62,386.345538,82.317941,1,21.3068181,pallet41
3087,pallet,b,41,g2,54,488.419788,68.049499,1,13.93258436,pallet41
3132,pallet,a,42,g2,62,372.077095,36.219894,1,9.73451322,pallet42
3166,pallet,b,42,g2,54,344.637783,60.366491,1,17.51592367,pallet42
