"","word","block","id","cond","order","word_duration","vot","KF","vot_per","word_id"
"3438","pain","a","46","g2",41,496.768837,91.644031,91,18.4480233408844,"pain46"
"3494","pain","b","46","g2",68,545.500191,122.192043,91,22.4000000395967,"pain46"
"3518","pain","a","47","g1",41,376.758799,72.733359,91,19.3050193367879,"pain47"
"3574","pain","b","47","g1",68,502.587509,70.551358,91,14.037626629515,"pain47"
"3598","pain","a","48","g2",41,480.736779,79.025224,91,16.4383561757816,"pain48"
"3654","pain","b","48","g2",68,514.761529,82.317942,91,15.9914712662997,"pain48"
"3678","pain","a","49","g1",41,439.029022,52.683483,91,12.0000000819991,"pain49"
"3732","pain","b","49","g1",68,511.468811,87.805804,91,17.1673818836238,"pain49"
"3756","pain","a","1","g1",41,338.601135,97.683958,91,28.8492706913106,"pain1"
"3812","pain","b","1","g1",68,379.098856,103.720607,91,27.3597784214891,"pain1"
"3835","pain","a","2","g1",41,422.817475,68.872678,91,16.2889856905749,"pain2"
"3890","pain","b","2","g1",68,487.322217,115.245119,91,23.6486486722193,"pain2"
"26","pair","a","3","g1",54,402.80913,104.384524,58,25.9141405260601,"pair3"
"45","pair","b","3","g1",10,455.183469,124.27427,58,27.3020174201449,"pair3"
"106","pair","a","4","g1",54,356.809843,60,58,16.8156796055651,"pair4"
"125","pair","b","4","g1",10,442.253144,93.430864,58,21.1261050978532,"pair4"
"186","pair","a","5","g1",54,393.883769,87.459212,58,22.2043198738661,"pair5"
"205","pair","b","5","g1",10,322.181639,70,58,21.7268743859112,"pair5"
"265","pair","a","6","g2",54,466.948164,106.190704,58,22.7414330298127,"pair6"
"284","pair","b","6","g2",10,391.992684,88.527202,58,22.5838913871158,"pair6"
"345","pair","a","7","g2",54,450.219491,95.2807,58,21.1631663898798,"pair7"
"364","pair","b","7","g2",10,532.408186,144.739384,58,27.1857923687146,"pair7"
"425","pair","a","8","g2",54,400.760807,59.641354,58,14.8820326135335,"pair8"
"444","pair","b","8","g2",10,469.471102,100.337941,58,21.372548932735,"pair8"
"504","pair","a","9","g2",54,581.157621,75.732507,58,13.0313196047721,"pair9"
"522","pair","b","9","g2",10,503.785805,72.988575,58,14.4880173827049,"pair9"
"583","pair","a","10","g2",54,447.809593,76.830077,58,17.1568626936494,"pair10"
"602","pair","b","10","g2",10,398.418839,61.464063,58,15.4269971656636,"pair10"
"662","pair","a","11","g1",54,400.065198,82.317942,58,20.5761316934146,"pair11"
"681","pair","b","11","g1",10,444.516885,88.903377,58,20,"pair11"
"740","pair","a","12","g1",54,491.642569,72.008255,58,14.6464646351647,"pair12"
