,word,block,id,cond,order,word_duration,vot_duration,mem_1,mem_2,rest,vot_per,rest_per,freq,KF,word_id
3764,pamper,a,1,g1,55,586.925037,69.147071,7.957142857,3.426064463,517.777966,11.78124405,88.21875595,0,1,pamper1
3810,pamper,b,1,g1,66,519.261722,83.689908,7.957142857,3.426064463,435.571814,16.11709557,83.88290443,0,1,pamper1
584,pamper,a,10,g2,55,497.038606,67.124185,0.75,1.773534191,429.914421,13.5048232,86.4951768,0,1,pamper10
629,pamper,b,10,g2,66,543.298417,85.61066,0.75,1.773534191,457.687757,15.75757582,84.24242418,0,1,pamper10
663,pamper,a,11,g1,55,539.456913,83.415514,3.714285714,3.426064463,456.041399,15.46286867,84.53713133,0,1,pamper11
709,pamper,b,11,g1,66,546.591133,71.342216,3.714285714,3.426064463,475.248917,13.05220881,86.94779119,0,1,pamper11
741,pamper,a,12,g1,55,461.84605,44.694779,2.871428571,1.438014982,417.151271,9.677419348,90.32258065,0,1,pamper12
785,pamper,b,12,g1,66,462.626834,86.433839,2.871428571,1.438014982,376.192995,18.683274,81.316726,0,1,pamper12
819,pamper,a,13,g1,55,760.790932,120.737375,6.216666667,3.426064463,640.053557,15.86998082,84.13001918,0,1,pamper13
865,pamper,b,13,g1,66,722.969587,122.192043,6.216666667,3.426064463,600.777544,16.90140847,83.09859153,0,1,pamper13
898,pamper,a,14,g1,55,481.520953,65.376213,8.373809524,2.884883637,416.14474,13.57702351,86.42297649,0,1,pamper14
944,pamper,b,14,g1,66,522.225515,73.460692,8.373809524,2.884883637,448.764823,14.06685233,85.93314767,0,1,pamper14
977,pamper,a,15,g1,55,464.766158,61.096021,1,3.045307406,403.670137,13.14553996,86.85446004,0,1,pamper15
1023,pamper,b,15,g1,66,574.197558,48.418084,1,3.045307406,525.779474,8.432304061,91.56769594,0,1,pamper15
1057,pamper,a,16,g1,55,516.406847,66.91469,6.207142857,3.398302189,449.492157,12.95774647,87.04225353,0,1,pamper16
1103,pamper,b,16,g1,66,505.496842,71.278691,6.207142857,3.398302189,434.218151,14.10071935,85.89928065,0,1,pamper16
1137,pamper,a,17,g1,55,582.594202,81.825028,4.833333333,1.762173268,500.769174,14.04494376,85.95505624,0,1,pamper17
