"","word","block","id","cond","order","word_duration","vot_duration","mem_1","mem_2","rest","vot_per","rest_per","freq","KF","word_id"
"3494","pain","b",46,"g2",68,545.500191,122.192043,6.666666667,3.426064463,423.308148,22.4000000395967,77.5999999604033,1,91,"pain46"
"3518","pain","a",47,"g1",41,376.758799,72.733359,10.52380952,3.426064463,304.02544,19.3050193367879,80.694980663212,1,91,"pain47"
"3574","pain","b",47,"g1",68,502.587509,70.551358,10.52380952,3.426064463,432.036151,14.037626629515,85.962373370485,1,91,"pain47"
"3598","pain","a",48,"g2",41,480.736779,79.025224,0.75,1.599676144,401.711555,16.4383561757816,83.5616438242184,1,91,"pain48"
"3654","pain","b",48,"g2",68,514.761529,82.317942,0.75,1.599676144,432.443587,15.9914712662997,84.0085287337003,1,91,"pain48"
"3678","pain","a",49,"g1",41,439.029022,52.683483,0.375,3.426064463,386.345539,12.0000000819991,87.9999999180009,1,91,"pain49"
"3732","pain","b",49,"g1",68,511.468811,87.805804,0.375,3.426064463,423.663007,17.1673818836238,82.8326181163762,1,91,"pain49"
"179","pain","a",5,"g1",41,502.194314,90.385537,8.214285714,3.426064463,411.808777,17.9981203451061,82.0018796548939,1,91,"pain5"
"235","pain","b",5,"g1",68,466.470588,78.256285,8.214285714,3.426064463,388.214303,16.7762527827371,83.2237472172629,1,91,"pain5"
"258","pain","a",6,"g2",41,507.678845,93.826033,7.458333333,2.348788663,413.852812,18.48137536635,81.51862463365,1,91,"pain6"
"314","pain","b",6,"g2",68,490.202854,93.812406,7.458333333,2.348788663,396.390448,19.1374663028788,80.8625336971212,1,91,"pain6"
"338","pain","a",7,"g2",41,525.13485,91.644032,3.875,2.504126581,433.490818,17.4515235467614,82.5484764532386,1,91,"pain7"
"394","pain","b",7,"g2",68,437.127486,58.186687,3.875,2.504126581,378.940799,13.311148089187,86.688851910813,1,91,"pain7"
"418","pain","a",8,"g2",41,479.562571,79.279361,4,2.579662663,400.28321,16.5315989600031,83.4684010399969,1,91,"pain8"
"474","pain","b",8,"g2",68,531.146717,81.006778,4,2.579662663,450.139939,15.2512997646938,84.7487002353062,1,91,"pain8"
"497","pain","a",9,"g2",41,651.958101,90.00095,3,2.154291247,561.957151,13.8047138093618,86.1952861906382,1,91,"pain9"
"552","pain","b",9,"g2",68,611.347916,104.81818,3,2.154291247,506.529736,17.1454219858664,82.8545780141336,1,91,"pain9"
"3763","pair","a",1,"g1",54,458.236544,86.708232,7.957142857,3.426064463,371.528312,18.9221556279894,81.0778443720106,1,58,"pair1"
"3782","pair","b",1,"g1",10,300.07165,67.340765,7.957142857,3.426064463,232.730885,22.4415618736392,77.5584381263608,1,58,"pair1"
"583","pair","a",10,"g2",54,447.809593,76.830077,0.75,1.773534191,370.979516,17.1568626936494,82.8431373063506,1,58,"pair10"
"602","pair","b",10,"g2",10,398.418839,61.464063,0.75,1.773534191,336.954776,15.4269971656636,84.5730028343364,1,58,"pair10"
"662","pair","a",11,"g1",54,400.065198,82.317942,3.714285714,3.426064463,317.747256,20.5761316934146,79.4238683065854,1,58,"pair11"
"681","pair","b",11,"g1",10,444.516885,88.903377,3.714285714,3.426064463,355.613508,20,80,1,58,"pair11"
"740","pair","a",12,"g1",54,491.642569,72.008255,2.871428571,1.438014982,419.634314,14.6464646351647,85.3535353648353,1,58,"pair12"
"758","pair","b",12,"g1",10,463.450013,105.366966,2.871428571,1.438014982,358.083047,22.7353464331438,77.2646535668562,1,58,"pair12"
"818","pair","a",13,"g1",54,544.045523,109.100038,6.216666667,3.426064463,434.945485,20.0534759294398,79.9465240705602,1,58,"pair13"
"837","pair","b",13,"g1",10,522.225516,119.282708,6.216666667,3.426064463,402.942808,22.8412255520659,77.1587744479341,1,58,"pair13"
"897","pair","a",14,"g1",54,345.739588,69.147918,8.373809524,2.884883637,276.59167,20.000000115694,79.999999884306,1,58,"pair14"
"916","pair","b",14,"g1",10,417.489478,81.461362,8.373809524,2.884883637,336.028116,19.5121952271094,80.4878047728906,1,58,"pair14"
"976","pair","a",15,"g1",54,424.035477,59.641354,1,3.045307406,364.394123,14.0651802113246,85.9348197886754,1,58,"pair15"
"995","pair","b",15,"g1",10,458.266934,76.377822,1,3.045307406,381.889112,16.6666665939289,83.3333334060711,1,58,"pair15"
"1056","pair","a",16,"g1",54,391.30547,81.461362,6.207142857,3.398302189,309.844108,20.817843921272,79.182156078728,1,58,"pair16"
"1075","pair","b",16,"g1",10,413.85281,88.734697,6.207142857,3.398302189,325.118113,21.4411246839184,78.5588753160816,1,58,"pair16"
"1136","pair","a",17,"g1",54,476.767166,77.461027,4.833333333,1.762173268,399.306139,16.2471395943403,83.7528604056597,1,58,"pair17"
"1155","pair","b",17,"g1",10,519.316181,50.186018,4.833333333,1.762173268,469.130163,9.6638656441171,90.3361343558829,1,58,"pair17"
"1216","pair","a",18,"g1",54,379.259004,70.88093,11.875,3.426064463,308.378074,18.6893202936324,81.3106797063676,1,58,"pair18"
"1235","pair","b",18,"g1",10,357.183452,62.550688,11.875,3.426064463,294.632764,17.5122021050404,82.4877978949596,1,58,"pair18"
"1296","pair","a",19,"g1",54,440.764154,56.73202,4,3.045307406,384.032134,12.8712871691467,87.1287128308533,1,58,"pair19"
"1315","pair","b",19,"g1",10,451.674158,72.006025,4,3.045307406,379.668133,15.9420289437945,84.0579710562055,1,58,"pair19"
"3842","pair","a",2,"g1",54,355.476313,85.747856,6.938095238,3.426064463,269.728457,24.1219605538105,75.8780394461895,1,58,"pair2"
"3861","pair","b",2,"g1",10,470.858629,134.589835,6.938095238,3.426064463,336.268794,28.5839160016753,71.4160839983247,1,58,"pair2"
"1376","pair","a",20,"g1",54,395.126122,111.952401,8.857142857,3.426064463,283.173721,28.3333332742805,71.6666667257195,1,58,"pair20"
"1395","pair","b",20,"g1",10,588.298892,122.928127,8.857142857,3.426064463,465.370765,20.8955224413375,79.1044775586625,1,58,"pair20"
"1456","pair","a",21,"g2",54,397.851473,79.279361,5.2,1.968031607,318.572112,19.9268738160484,80.0731261839516,1,58,"pair21"
"1475","pair","b",21,"g2",10,408.034141,66.91469,5.2,1.968031607,341.119451,16.3992870390716,83.6007129609284,1,58,"pair21"
"1536","pair","a",22,"g2",54,380.395466,50.186018,5.675,2.198905607,330.209448,13.1931167654874,86.8068832345126,1,58,"pair22"
"1555","pair","b",22,"g2",10,491.677506,67.642024,5.675,2.198905607,424.035482,13.7573964996479,86.2426035003521,1,58,"pair22"
"1616","pair","a",23,"g2",54,353.418364,54.878628,4.964285714,2.243635605,298.539736,15.5279503246187,84.4720496753813,1,58,"pair23"
"1635","pair","b",23,"g2",10,388.540684,82.317942,4.964285714,2.243635605,306.222742,21.1864408001094,78.8135591998906,1,58,"pair23"
"1696","pair","a",24,"g2",54,509.273667,73.537361,3.571428571,2.579662663,435.736306,14.4396550941245,85.5603449058755,1,58,"pair24"
"1715","pair","b",24,"g2",10,485.030602,94.850429,3.571428571,2.579662663,390.180173,19.5555555894595,80.4444444105405,1,58,"pair24"
"1774","pair","a",25,"g2",54,419.272718,114.147546,1.916666667,1.51171755,305.125172,27.2251308276156,72.7748691723844,1,58,"pair25"
"1791","pair","b",25,"g2",10,413.784855,97.683958,1.916666667,1.51171755,316.100897,23.6074271012166,76.3925728987834,1,58,"pair25"
"1852","pair","a",26,"g2",54,448.907173,127.318416,2.2,1.968031607,321.588757,28.3618582321027,71.6381417678973,1,58,"pair26"
"1871","pair","b",26,"g2",10,447.809602,94.39124,2.2,1.968031607,353.418362,21.0784314535533,78.9215685464467,1,58,"pair26"
"1932","pair","a",27,"g2",54,427.285054,83.964312,3.6,0.967591848,343.320742,19.6506550402299,80.3493449597701,1,58,"pair27"
"1951","pair","b",27,"g2",10,384.150396,93.293668,3.6,0.967591848,290.856728,24.2857143898402,75.7142856101598,1,58,"pair27"
"2011","pair","a",28,"g2",54,363.296517,71.342216,11.90714286,2.198905607,291.954301,19.6374621450059,80.3625378549941,1,58,"pair28"
"2030","pair","b",28,"g2",10,419.272716,58.171345,11.90714286,2.198905607,361.101371,13.8743454510882,86.1256545489118,1,58,"pair28"
"2091","pair","a",29,"g2",54,353.418364,68.049499,8.371428571,2.884883637,285.368865,19.2546584817534,80.7453415182466,1,58,"pair29"
"2110","pair","b",29,"g2",10,325.430264,72.439789,8.371428571,2.884883637,252.990475,22.2596964737121,77.7403035262879,1,58,"pair29"
"26","pair","a",3,"g1",54,402.80913,104.384524,1.821428571,3.426064463,298.424606,25.9141405260601,74.0858594739399,1,58,"pair3"
"45","pair","b",3,"g1",10,455.183469,124.27427,1.821428571,3.426064463,330.909199,27.3020174201449,72.6979825798551,1,58,"pair3"
"2168","pair","a",30,"g2",54,325.97905,69.147071,3,1.938414631,256.831979,21.2121211470492,78.7878788529508,1,58,"pair30"
"2187","pair","b",30,"g2",10,379.023722,54.146246,3,1.938414631,324.877476,14.2857142857143,85.7142857142857,1,58,"pair30"
"2248","pair","a",31,"g1",54,359.80294,88.903376,8.25,3.426064463,270.899564,24.7089076037011,75.2910923962989,1,58,"pair31"
"2267","pair","b",31,"g1",10,387.443111,91.098522,8.25,3.426064463,296.344589,23.512747914106,76.487252085894,1,58,"pair31"
"2328","pair","a",32,"g1",54,329.271768,66.951926,6.857142857,3.426064463,262.319842,20.3333332847413,79.6666667152587,1,58,"pair32"
"2347","pair","b",32,"g1",10,408.29699,82.317942,6.857142857,3.426064463,325.979048,20.1612904371399,79.8387095628601,1,58,"pair32"
"2408","pair","a",33,"g1",54,481.834354,81.220369,5.458333333,3.426064463,400.613985,16.8564919304197,83.1435080695803,1,58,"pair33"
"2427","pair","b",33,"g1",10,491.712507,93.293668,5.458333333,3.426064463,398.418839,18.9732143624323,81.0267856375677,1,58,"pair33"
"2488","pair","a",34,"g1",54,478.541636,136.098997,6.514285714,3.426064463,342.442639,28.4403668900401,71.5596331099599,1,58,"pair34"
"2507","pair","b",34,"g1",10,398.418838,85.610659,6.514285714,3.426064463,312.808179,21.4876032041437,78.5123967958563,1,58,"pair34"
"2568","pair","a",35,"g1",54,364.39409,65.854354,7.333333333,3.426064463,298.539736,18.0722892624301,81.9277107375699,1,58,"pair35"
"2587","pair","b",35,"g1",10,425.858149,61.464063,7.333333333,3.426064463,364.394086,14.4329897512423,85.5670102487577,1,58,"pair35"
"2648","pair","a",36,"g1",54,485.127071,97.683958,8.804761905,3.426064463,387.443113,20.1357466608991,79.8642533391009,1,58,"pair36"
"2667","pair","b",36,"g1",10,477.444059,93.293667,8.804761905,3.426064463,384.150392,19.5402299476513,80.4597700523487,1,58,"pair36"
"2728","pair","a",37,"g2",54,556.469288,118.537836,6.733333333,2.504126581,437.931452,21.3017750586084,78.6982249413916,1,58,"pair37"
"2746","pair","b",37,"g2",10,513.663956,102.074248,6.733333333,2.504126581,411.589708,19.8717949366881,80.1282050633119,1,58,"pair37"
"2806","pair","a",38,"g2",54,476.346491,92.196095,4.75,2.884883637,384.150396,19.3548387029054,80.6451612970946,1,58,"pair38"
"2825","pair","b",38,"g2",10,439.061866,95.488812,4.75,2.884883637,343.573054,21.7483729274726,78.2516270725274,1,58,"pair38"
"2886","pair","a",39,"g2",54,410.492138,72.439789,4.857142857,2.884883637,338.052349,17.6470588091994,82.3529411908006,1,58,"pair39"
"2905","pair","b",39,"g2",10,395.126121,55.9762,4.857142857,2.884883637,339.149921,14.1666665464519,85.8333334535481,1,58,"pair39"
"106","pair","a",4,"g1",54,356.809843,60,5.5,3.426064463,296.809843,16.8156796055651,83.1843203944349,1,58,"pair4"
"125","pair","b",4,"g1",10,442.253144,93.430864,5.5,3.426064463,348.82228,21.1261050978532,78.8738949021468,1,58,"pair4"
"2966","pair","a",40,"g2",54,496.102797,80.122797,5.777777778,2.884883637,415.98,16.1504425059712,83.8495574940288,1,58,"pair40"
"2985","pair","b",40,"g2",10,531.225113,106.464537,5.777777778,2.884883637,424.760576,20.0413222934361,79.9586777065639,1,58,"pair40"
"3046","pair","a",41,"g2",54,456.590181,102.074247,3.125,1.438014982,354.515934,22.3557691881245,77.6442308118755,1,58,"pair41"
"3065","pair","b",41,"g2",10,465.370764,107.562111,3.125,1.438014982,357.808653,23.1132076444751,76.8867923555249,1,58,"pair41"
"3126","pair","a",42,"g2",54,360.003797,36.219894,8.833333333,2.579662663,323.783903,10.0609755513218,89.9390244486782,1,58,"pair42"
"3145","pair","b",42,"g2",10,352.320791,49.390765,8.833333333,2.579662663,302.930026,14.0186915622587,85.9813084377413,1,58,"pair42"
"3205","pair","a",43,"g1",54,565.249868,92.196095,5.478571429,3.426064463,473.053773,16.3106796161162,83.6893203838838,1,58,"pair43"
"3224","pair","b",43,"g1",10,451.102322,72.439789,5.478571429,3.426064463,378.662533,16.0583941751468,83.9416058248532,1,58,"pair43"
"3285","pair","a",44,"g2",54,445.614455,111.9524,12.31746032,3.426064463,333.662055,25.1231527038323,74.8768472961677,1,58,"pair44"
"3304","pair","b",44,"g2",10,534.517837,103.171821,12.31746032,3.426064463,431.346016,19.3018481065207,80.6981518934793,1,58,"pair44"
"3365","pair","a",45,"g1",54,482.931923,94.39124,2.75,1.773534191,388.540683,19.54545464993,80.45454535007,1,58,"pair45"
"3384","pair","b",45,"g1",10,465.370764,95.488812,2.75,1.773534191,369.881952,20.5188678333046,79.4811321666954,1,58,"pair45"
"3445","pair","a",46,"g2",54,433.490815,75.642693,6.666666667,3.426064463,357.848122,17.4496645332612,82.5503354667388,1,58,"pair46"
"3464","pair","b",46,"g2",10,421.126147,77.824694,6.666666667,3.426064463,343.301453,18.4801382090388,81.5198617909612,1,58,"pair46"
"3525","pair","a",47,"g1",54,397.124139,64.005356,10.52380952,3.426064463,333.118783,16.1172161836277,83.8827838163723,1,58,"pair47"
"3544","pair","b",47,"g1",10,406.579475,99.644701,10.52380952,3.426064463,306.934774,24.5080499944076,75.4919500055924,1,58,"pair47"
"3605","pair","a",48,"g2",54,375.369814,64.756781,0.75,1.599676144,310.613033,17.251462047505,82.748537952495,1,58,"pair48"
"3624","pair","b",48,"g2",10,476.34649,91.098522,0.75,1.599676144,385.247968,19.1244239041207,80.8755760958793,1,58,"pair48"
"3685","pair","a",49,"g1",54,458.785328,74.634934,0.375,3.426064463,384.150394,16.2679426400489,83.7320573599512,1,58,"pair49"
"3703","pair","b",49,"g1",10,512.566383,81.220369,0.375,3.426064463,431.346014,15.8458244031974,84.1541755968026,1,58,"pair49"
"186","pair","a",5,"g1",54,393.883769,87.459212,8.214285714,3.426064463,306.424557,22.2043198738661,77.7956801261339,1,58,"pair5"
"205","pair","b",5,"g1",10,322.181639,70,8.214285714,3.426064463,252.181639,21.7268743859112,78.2731256140888,1,58,"pair5"
"265","pair","a",6,"g2",54,466.948164,106.190704,7.458333333,2.348788663,360.75746,22.7414330298127,77.2585669701873,1,58,"pair6"
"284","pair","b",6,"g2",10,391.992684,88.527202,7.458333333,2.348788663,303.465482,22.5838913871158,77.4161086128842,1,58,"pair6"
"345","pair","a",7,"g2",54,450.219491,95.2807,3.875,2.504126581,354.938791,21.1631663898798,78.8368336101202,1,58,"pair7"
"364","pair","b",7,"g2",10,532.408186,144.739384,3.875,2.504126581,387.668802,27.1857923687146,72.8142076312854,1,58,"pair7"
"425","pair","a",8,"g2",54,400.760807,59.641354,4,2.579662663,341.119453,14.8820326135335,85.1179673864665,1,58,"pair8"
"444","pair","b",8,"g2",10,469.471102,100.337941,4,2.579662663,369.133161,21.372548932735,78.6274510672651,1,58,"pair8"
"504","pair","a",9,"g2",54,581.157621,75.732507,3,2.154291247,505.425114,13.0313196047721,86.9686803952279,1,58,"pair9"
"522","pair","b",9,"g2",10,503.785805,72.988575,3,2.154291247,430.79723,14.4880173827049,85.5119826172951,1,58,"pair9"
"3738","pall","a",1,"g1",0,276.903987,55.880312,7.957142857,3.426064463,221.023675,20.1803927077439,79.8196072922561,0,42,"pall1"
"3778","pall","b",1,"g1",0,296.344591,51.58591,7.957142857,3.426064463,244.758681,17.4074073111731,82.5925926888269,0,42,"pall1"
"558","pall","a",10,"g2",0,409.584844,72.439787,0.75,1.773534191,337.145057,17.6861492951141,82.3138507048859,0,42,"pall10"
"598","pall","b",10,"g2",0,413.416702,80.122797,0.75,1.773534191,333.293905,19.3806386177402,80.6193613822598,0,42,"pall10"
"637","pall","a",11,"g1",0,383.60161,58.171346,3.714285714,3.426064463,325.430264,15.1645208162708,84.8354791837292,0,42,"pall11"
